names,importances,experiment_id,CO_MES,var_target
"('02~mes', '052', '3102~prdt', 'sm12')",0.033606460460042245,6101bd2a-cd0f-48c1-8485-5608eb5bb1b4,02~mes,kt
"('03~mes', '-6:-36', 'mm')",0.05,6101bd2a-cd0f-48c1-8485-5608eb5bb1b4,02~mes,oc
"('06~mes', '-21:-45', 'mm')",0.025844248198984666,777a8cc3-f21f-46b0-a530-52833dd9f6c9,03~mes,kt
"('10~mes', '-31:-55', 'mm')",0.04,777a8cc3-f21f-46b0-a530-52833dd9f6c9,03~mes,oc
"('04~mes', '081', '5201~prdt', 'sm3')",0.018114334474089798,f3d98abd-6cea-4176-a267-9923aa91ffcc,04~mes,kt
"('04~mes', '-8:-40', 'mm')",0.04999999999999999,f3d98abd-6cea-4176-a267-9923aa91ffcc,04~mes,oc
"('05~mes', '022', '3104~prdt', 'sm12')",0.02538922044433651,8a5933f1-bf33-4bfd-9595-42f5902b105c,05~mes,kt
"('04~mes', '-8:-40', 'mm')",0.06,8a5933f1-bf33-4bfd-9595-42f5902b105c,05~mes,oc
"('05~mes', '-29:-53', 'mm')",0.02390397863538337,b027c8e3-8d67-443e-a523-6f8678866f6c,06~mes,kt
"('02~mes', '-31:-55', 'mm')",0.059999999999999984,b027c8e3-8d67-443e-a523-6f8678866f6c,06~mes,oc
"('11~mes', '-8:-42', 'mm')",0.032063465144361904,7a9fa7a2-d860-4eb9-8912-2c8969ec0ac0,07~mes,kt
"('10~mes', '-31:-55', 'mm')",0.06,7a9fa7a2-d860-4eb9-8912-2c8969ec0ac0,07~mes,oc
"('04~mes', '-25:-53', 'mm')",0.026664712269012313,17d7e3ea-18e4-4f3c-b3fa-dc350f79e715,08~mes,kt
"('07~mes', '-8:-40', 'mm')",0.06,17d7e3ea-18e4-4f3c-b3fa-dc350f79e715,08~mes,oc
"('02~mes', '-22:-50', 'mm')",0.01863240005348073,dcf818b6-5b6d-4139-b8d3-aa4d5c2ddef2,09~mes,kt
"('03~mes', '-3:-61', 'mm')",0.10999999999999997,dcf818b6-5b6d-4139-b8d3-aa4d5c2ddef2,09~mes,oc
"('10~mes', '101', '2304~prdt', 'lag12')",0.014274300089298706,32679428-d51d-43c8-b4dc-eca7895488b0,10~mes,kt
"('11~mes', '-10:-46', 'mm')",0.17061626632476834,32679428-d51d-43c8-b4dc-eca7895488b0,10~mes,oc
"('06~mes', '-17:-53', 'mm')",0.0171562708282522,0c8b5953-9185-42fd-89f6-fbcd157604e1,11~mes,kt
"('08~mes', '-4:-46', 'mm')",0.11923954372623573,0c8b5953-9185-42fd-89f6-fbcd157604e1,11~mes,oc
"('12~mes', '-20:-46', 'mm')",0.01821291491372043,cf430455-eb50-4622-be05-661b2f50d77f,12~mes,kt
"('06~mes', '-29:-55', 'mm')",0.09437976944838067,cf430455-eb50-4622-be05-661b2f50d77f,12~mes,oc
"('01~mes', '-22:-50', 'mm')",0.019734731858029604,5e9d1e54-d86b-4da9-9cf3-b47c3fb1301a,01~mes,kt
"('01~mes', '-2:-44', 'mm')",0.1249928436842378,5e9d1e54-d86b-4da9-9cf3-b47c3fb1301a,01~mes,oc
