max_depth,max_features,min_samples_split,min_samples_leaf,fit_time_sec,experiment_id
55,55,3,2,0.11666750907897949,6101bd2a-cd0f-48c1-8485-5608eb5bb1b4
144,144,3,1,0.14452767372131348,777a8cc3-f21f-46b0-a530-52833dd9f6c9
377,55,3,3,0.11928844451904297,f3d98abd-6cea-4176-a267-9923aa91ffcc
4181,233,2,1,0.14771628379821777,8a5933f1-bf33-4bfd-9595-42f5902b105c
4181,1597,8,2,0.275620698928833,b027c8e3-8d67-443e-a523-6f8678866f6c
610,987,2,1,0.31211352348327637,7a9fa7a2-d860-4eb9-8912-2c8969ec0ac0
610,4181,8,2,0.3666658401489258,17d7e3ea-18e4-4f3c-b3fa-dc350f79e715
610,610,8,2,0.18626856803894043,dcf818b6-5b6d-4139-b8d3-aa4d5c2ddef2
2584,2584,2,1,0.47321319580078125,32679428-d51d-43c8-b4dc-eca7895488b0
144,2584,2,2,0.6354033946990967,0c8b5953-9185-42fd-89f6-fbcd157604e1
233,2584,2,2,0.5161392688751221,cf430455-eb50-4622-be05-661b2f50d77f
55,1597,5,2,0.6356315612792969,5e9d1e54-d86b-4da9-9cf3-b47c3fb1301a
